
525175.9925	9523706.9966	270.3500
525176.1505	9523721.6119	273.9900
525176.4440	9523767.3154	279.8400
525176.5461	9523714.9601	273.7600
525176.8993	9523773.8938	280.0500
525177.3131	9523677.3912	269.3800
525178.1484	9523780.1737	279.7800
525179.0887	9523742.1652	279.8500
525179.2450	9523725.5399	274.1100
525179.2764	9523780.2212	279.7700
525180.0421	9523751.8717	279.2700
525180.1870	9523719.1965	274.2400
525180.2635	9523717.5858	274.2000
525180.3701	9523722.0047	274.1700
525180.7261	9523766.3322	279.6200
525180.8001	9523767.0437	279.6200
525180.8144	9523766.4566	278.9500
525180.8441	9523766.9248	278.9200
525180.8839	9523712.2523	271.4500
525180.9256	9523703.5447	270.4000
525181.4000	9523741.7012	279.7800
525181.4255	9523716.1510	274.1100
525182.2041	9523715.1121	272.7800
525182.3501	9523690.7532	269.9100
525182.7177	9523717.2706	273.1000
525183.2604	9523717.5752	273.2100
525184.0718	9523719.4008	274.1500
525184.7638	9523710.6190	271.3100
525185.0529	9523719.9803	274.1300
525185.1004	9523707.1244	270.7900
525185.1864	9523766.7611	279.5100
525185.4262	9523750.4626	279.1000
525185.5318	9523783.8641	279.7300
525185.5688	9523783.9644	279.6300
525185.6662	9523736.0753	279.0200
525185.7906	9523711.8598	272.0900
525185.9926	9523779.9376	278.5800
525185.9991	9523779.8742	279.5200
525186.0931	9523780.7136	279.3300
525186.1184	9523780.6562	278.5900
525186.3828	9523790.4398	279.5800
525186.3949	9523790.3086	279.4700
525187.0366	9523754.8945	279.2200
525187.2109	9523665.6242	268.3300
525187.2342	9523809.8273	299.2600
525187.6596	9523715.5273	273.2000
525187.9820	9523726.8848	274.4400
525187.9930	9523779.4770	279.4900
525188.1686	9523711.2324	271.6800
525188.1881	9523682.7007	269.6500
525188.4010	9523740.4840	279.5700
525188.5264	9523682.4213	269.0400
525188.5475	9523715.0513	272.8600
525188.8242	9523682.2621	269.6700
525189.0266	9523705.0736	270.9800
525189.3887	9523722.2584	274.4000
525189.6522	9523720.0049	274.1300
525189.6695	9523699.8977	270.4000
525189.7559	9523686.4486	269.5900
525189.9867	9523655.5032	268.1000
525190.1700	9523749.4703	278.9900
525190.5308	9523696.5371	270.0600
525190.6173	9523682.0990	269.2500
525190.6804	9523663.1660	268.0300
525190.8139	9523696.3202	269.3100
525190.9863	9523642.0355	267.9200
525190.9891	9523646.6374	267.9800
525190.9997	9523651.3663	268.0600
525191.2060	9523696.1947	270.0300
525191.3366	9523730.0317	275.3300
525191.3418	9523716.8327	272.9400
525191.3573	9523696.2003	269.9400
525191.4663	9523637.5973	267.6900
525191.5987	9523709.7648	271.7300
525192.5705	9523729.9030	275.2800
525192.8865	9523812.1027	299.6200
525193.3247	9523719.8725	273.5300
525193.5263	9523722.7276	274.4100
525193.6809	9523661.7858	268.0900
525193.8085	9523765.6302	279.2500
525193.8958	9523656.6984	268.0100
525194.0083	9523793.8376	279.3500
525194.1277	9523791.7464	278.1000
525194.2033	9523792.4716	279.3100
525194.2167	9523728.9431	274.7500
525194.2512	9523791.0286	279.3000
525194.2587	9523790.9526	279.1600
525194.4323	9523704.8468	270.2100
525194.6046	9523704.8154	269.6000
525194.6441	9523714.9379	272.7800
525194.6607	9523712.8649	272.3200
525194.8618	9523724.0034	274.5000
525195.1503	9523704.5940	270.1800
525195.1551	9523704.2551	270.3700
525195.3167	9523749.2432	278.8600
525195.3826	9523650.3442	267.9800
525195.5327	9523671.0369	268.3200
525195.7628	9523727.1101	274.6400
525196.2087	9523734.6661	278.4800
525196.4897	9523646.2125	267.9000
525196.8080	9523738.9729	279.2300
525196.9629	9523778.1653	279.1800
525197.1780	9523686.1335	269.2300
525197.3010	9523745.7500	279.0200
525197.3256	9523695.2075	269.9500
525197.8033	9523720.4578	273.7500
525198.0241	9523710.6254	271.2200
525198.1620	9523736.0641	278.9000
525198.5246	9523764.5276	279.0300
525199.1018	9523714.9341	271.4700
525199.3238	9523771.0951	279.2700
525199.3742	9523714.7107	270.8100
525199.4854	9523702.9144	270.5400
525199.4982	9523748.6521	278.7500
525199.8016	9523714.6526	271.7900
525200.5278	9523724.5578	274.4000
525200.8518	9523669.5280	268.1500
525201.0150	9523756.2950	278.7600
525201.2613	9523725.3118	274.5300
525201.5822	9523763.9746	278.9700
525201.7726	9523777.0913	279.0300
525201.8109	9523709.0349	271.2400
525201.8317	9523777.2705	279.0200
525201.8343	9523777.3553	278.0700
525201.9335	9523721.8989	272.7900
525202.0056	9523778.0434	278.0800
525202.1014	9523778.1365	279.0200
525202.1340	9523722.0268	271.8500
525202.3859	9523721.5838	273.1900
525202.4023	9523721.8743	271.8600
525202.6273	9523812.8368	299.9100
525202.6847	9523694.2345	269.9400
525202.7143	9523720.5349	272.8600
525202.8116	9523698.2160	270.1800
525202.9861	9523701.6875	270.5700
525203.1747	9523698.1764	269.7300
525203.2666	9523738.3353	278.8500
525203.3641	9523698.2999	270.1700
525203.5889	9523689.1707	269.6300
525203.7102	9523663.4801	267.9700
525203.8762	9523705.3983	270.9400
525203.9805	9523689.1740	269.0800
525204.0232	9523785.0784	279.1000
525204.0697	9523784.9743	279.2100
525204.1099	9523689.2276	269.5900
525204.2093	9523685.2201	269.2800
525204.2341	9523705.4268	270.4500
525204.4128	9523685.0024	269.4000
525204.4194	9523791.8449	279.0800
525204.4612	9523705.3730	270.9800
525204.5322	9523749.3660	278.5800
525204.6744	9523685.0760	268.9000
525204.8973	9523685.0602	269.3900
525204.9033	9523791.8058	278.9400
525204.9153	9523708.6940	271.2900
525205.0343	9523683.0103	269.4600
525205.1215	9523762.2822	278.0900
525205.1428	9523762.1230	278.8000
525205.2336	9523762.8246	278.7700
525205.2727	9523762.7098	278.0800
525205.2893	9523683.1557	268.8200
525205.5158	9523683.1676	269.2900
525205.5777	9523729.4686	274.9400
525205.6429	9523729.2836	274.0200
525205.7178	9523776.1152	278.9200
525205.7639	9523729.0402	274.9300
525205.7973	9523788.4763	278.9600
525205.8628	9523681.4822	269.0300
525205.8654	9523718.9443	272.8300
525205.9944	9523729.0798	274.0500
525206.1795	9523729.1600	274.8800
525206.6693	9523690.9469	270.0800
525206.7308	9523740.1946	278.7100
525206.8403	9523702.3468	271.6400
525206.8738	9523679.3381	268.3400
525207.2787	9523734.8469	275.6300
525207.5435	9523706.1641	272.1200
525207.5834	9523671.3513	267.8900
525208.0492	9523657.9817	267.6000
525208.5005	9523748.3259	278.4000
525208.7998	9523801.7756	280.5600
525208.8643	9523717.1967	272.6900
525208.9381	9523681.1573	269.2000
525208.9619	9523717.6692	272.8000
525209.0478	9523717.1202	272.2000
525209.4174	9523717.0513	272.7200
525209.4184	9523760.7472	278.6100
525209.4198	9523760.8790	277.8800
525209.4210	9523814.5113	299.8600
525209.5459	9523655.8485	267.5900
525209.6057	9523761.5764	278.6500
525209.6273	9523761.3427	277.8600
525209.6626	9523761.3617	278.5800
525209.7670	9523682.2824	269.5700
525209.7801	9523795.0329	279.0200
525209.8442	9523794.3278	278.9800
525209.9864	9523776.4434	278.7900
525210.5125	9523753.6001	278.4000
525210.7426	9523795.7950	278.9800
525210.8014	9523716.7575	273.1300
525210.9290	9523793.8203	278.9000
525210.9659	9523795.1664	279.0100
525210.9793	9523793.7279	277.6800
525211.0317	9523792.4435	277.6800
525211.0386	9523794.4354	278.9900
525211.0674	9523653.3107	267.5700
525211.0996	9523792.3206	278.8600
525211.1690	9523792.2443	278.7600
525211.8192	9523652.4326	267.3600
525211.8424	9523745.4041	277.2600
525211.9123	9523742.6507	276.9300
525212.0317	9523742.6898	276.1700
525212.0862	9523718.2731	273.1700
525212.1616	9523678.7228	269.1600
525212.4226	9523742.4590	276.1600
525212.5305	9523742.3587	276.8900
525212.6327	9523774.3411	278.6800
525212.7203	9523774.4151	277.7600
525212.8106	9523758.6642	278.4200
525212.8736	9523775.2372	278.6900
525212.8761	9523758.7876	277.7200
525212.9244	9523775.1159	277.7700
525213.0183	9523759.5239	278.4700
525213.0628	9523759.2909	277.7400
525213.0850	9523759.3364	278.4200
525213.1594	9523667.3683	267.7500
525213.9755	9523757.1867	278.3900
525214.1210	9523757.1907	277.6600
525214.3398	9523757.7829	277.6600
525214.3942	9523773.5602	278.6500
525214.4576	9523757.7988	278.3700
525214.5289	9523725.9804	274.5100
525214.8874	9523755.4050	278.2800
525214.8922	9523697.7495	271.5300
525214.9853	9523755.4663	277.5700
525215.0386	9523749.2938	277.8300
525215.1075	9523749.3151	277.0100
525215.2301	9523758.6732	278.3200
525215.3035	9523755.8453	277.5500
525215.3421	9523755.8523	278.2800
525215.3963	9523753.3332	278.1900
525215.5221	9523753.2935	277.3800
525215.5728	9523749.3337	277.0000
525215.6824	9523749.3278	277.8200
525215.7412	9523663.1111	267.1800
525215.9328	9523753.4317	277.3900
525215.9796	9523663.6392	267.3600
525216.0886	9523753.4592	278.1800
525216.1036	9523815.1029	299.5700
525216.3379	9523666.1325	267.5800
525217.0637	9523777.1358	278.7700
525217.0991	9523783.8857	278.7800
525217.1032	9523792.8146	278.7400
525217.1127	9523783.8687	278.7700
525217.1366	9523792.7855	278.6300
525217.6208	9523788.2378	278.7100
525218.1609	9523667.2642	267.3200
525218.3374	9523765.2638	278.5500
525218.5544	9523734.3792	275.8600
525218.6310	9523724.3365	274.2300
525219.4125	9523675.1966	267.8800
525219.7391	9523738.6907	276.6800
525219.8098	9523740.9706	276.9400
525220.1160	9523740.8457	276.4600
525220.1990	9523740.8451	276.9700
525220.2815	9523782.0592	278.8000
525220.3535	9523782.2000	278.6900
525220.7367	9523774.0944	279.0200
525220.7953	9523804.4777	280.1600
525221.4212	9523671.4630	267.6000
525221.5550	9523771.2533	277.4400
525221.5783	9523770.9407	278.3700
525221.5930	9523770.9608	278.3900
525221.6503	9523780.6959	278.7600
525221.6961	9523745.4959	277.2500
525221.7133	9523770.9493	278.3600
525221.7636	9523780.7308	278.6500
525221.8058	9523771.9327	277.4800
525221.8392	9523745.3628	277.0100
525222.0198	9523771.8671	278.3900
525222.2595	9523815.7345	299.4800
525222.2767	9523673.3647	267.3200
525222.3119	9523744.8744	276.9900
525222.4369	9523726.7927	274.6500
525222.4732	9523744.8241	277.5500
525222.4809	9523774.7041	278.6300
525222.5551	9523739.4820	276.8000
525222.6367	9523774.6746	278.5000
525222.6796	9523777.7889	278.7000
525222.9127	9523777.8037	278.6100
525222.9285	9523674.8187	267.4600
525223.1553	9523776.7165	278.5700
525223.1829	9523777.6279	278.5900
525223.3659	9523755.3372	278.0000
525223.7424	9523793.2200	277.3900
525223.7567	9523777.6463	278.5800
525223.7575	9523776.7829	278.5400
525223.7976	9523794.4573	277.3900
525223.8370	9523793.0301	278.4400
525223.8461	9523793.0961	278.5700
525223.9134	9523796.4234	278.6400
525223.9977	9523728.8898	275.0400
525224.2824	9523741.2298	277.1200
525224.8500	9523724.5427	273.4700
525227.1918	9523761.5338	278.2500
525227.9745	9523742.5425	277.5900
525228.1648	9523746.9404	277.7200
525228.2804	9523713.4144	272.6100
525230.2973	9523745.9099	277.7700
525230.6733	9523719.0628	272.8800
525230.7168	9523767.1182	278.0700
525230.9240	9523815.8150	299.3300
525230.9704	9523737.9460	277.2100
525231.1688	9523726.3776	273.5600
525231.3080	9523727.1619	273.7000
525231.9192	9523806.2490	279.7000
525231.9287	9523766.6505	278.0000
525231.9293	9523792.8428	278.2200
525231.9758	9523766.7735	277.1000
525232.2120	9523767.3305	277.1200
525232.2430	9523767.5104	277.9400
525232.5972	9523777.7127	278.3300
525233.5232	9523783.1991	278.3700
525233.5371	9523712.5001	272.6500
525233.6134	9523750.4168	277.8000
525233.7102	9523750.6173	277.7200
525233.8432	9523758.0939	278.0600
525234.2223	9523748.8026	277.7800
525234.3354	9523737.8711	277.0700
525234.4646	9523719.5268	273.0100
525234.5798	9523728.3431	273.9000
525235.2438	9523717.0192	272.8700
525235.3620	9523709.9107	271.0100
525235.6997	9523792.1787	277.2600
525235.7192	9523792.0064	278.1800
525235.7278	9523792.0466	278.3100
525235.8216	9523793.3757	277.2400
525235.9326	9523793.5483	278.3200
525236.5602	9523796.1286	278.4500
525236.8431	9523744.0583	277.6900
525237.0739	9523792.2050	278.0900
525237.1753	9523763.8976	277.8400
525237.1938	9523764.0438	277.8300
525237.2029	9523707.6884	270.7500
525237.3647	9523763.9534	277.9400
525237.5133	9523763.9617	277.9400
525237.6343	9523764.8085	277.8200
525237.8108	9523763.7375	277.8000
525237.8602	9523763.8233	276.8600
525237.9694	9523792.5265	277.0700
